name,phone,address,postalZip,country,currency,color,model,numberOfCustomizations
Celeste Travis,(882) 423-6372,"P.O. Box 139, 4417 Vestibulum Avenue",3456-1615,Netherlands,$141.14 ,yellow,Hero,1
Zelda Jacobson,1-387-212-4591,Ap #231-8123 Pede. Av.,3698,Singapore,$41.99 ,green,Trickster,0
Cassady Allen,(426) 654-6686,6715 Porttitor Rd.,567262,Costa Rica,$103.66 ,indigo,Roadster,2
Hyatt Colon,(507) 601-4577,2445 Lorem Road,571454,Poland,$65.50 ,orange,Cruiser,4
Robert Leonard,1-274-188-3072,Ap #147-3079 Vel Street,8747-5783,South Africa,$245.19 ,green,Racer,4
Xandra Cobb,(579) 765-7102,Ap #310-830 Pharetra Rd.,8783,Brazil,$180.42 ,red,Racer,3
Gannon Powers,(423) 205-8965,4226 Donec St.,78-79,Belgium,$264.49 ,red,Hero,3
Martina Hays,(751) 382-3937,4796 Orci Road,975881,Nigeria,$286.99 ,indigo,Racer,6
Pascale Page,1-708-488-6388,Ap #470-1487 Eleifend Street,25236,Sweden,$239.88 ,red,Cruiser,8
Teagan Valenzuela,(225) 374-8974,Ap #320-8907 Tincidunt. Av.,6729,Germany,$107.64 ,green,Ninja,5
Ezekiel Fischer,1-364-534-1571,217-2480 Lobortis. St.,8434 UF,Austria,$263.83 ,violet,Ninja,2
Jackson Leblanc,(787) 371-6013,483-265 Aliquam Rd.,627431,Colombia,$199.56 ,indigo,Roadster,7
Desiree Christian,1-348-841-8354,"Ap #390-2140 Ut, Road",44173,Italy,$230.52 ,blue,Ninja,8
Patience Atkinson,1-324-782-4456,206-7693 Dui St.,548223,France,$282.92 ,orange,Hero,9
Emily Santos,(527) 890-1458,7925 Eu Road,28841,New Zealand,$137.40 ,violet,Trickster,1
Florence Morris,1-454-765-1332,Ap #650-9246 Nec Av.,5425,New Zealand,$136.28 ,yellow,Ninja,3
Clayton Ray,(725) 402-3843,721-3565 Nunc Rd.,4754,Turkey,$258.96 ,violet,Trickster,3
Keegan Yates,1-162-746-5355,2788 Velit. St.,M88 5CI,Vietnam,$145.89 ,green,Cruiser,5
Jason Puckett,(982) 224-1533,Ap #260-4664 In Avenue,658838,Costa Rica,$165.82 ,yellow,Cruiser,4
Lucas Patterson,(635) 368-5357,Ap #238-5936 Gravida Rd.,9847,Australia,$194.65 ,green,Trickster,5
Joel Roth,1-468-826-4517,3843 Integer Ave,173181,Belgium,$282.63 ,indigo,Ninja,5
Ali Whitfield,(696) 831-5713,Ap #663-6117 Faucibus Rd.,8860,United Kingdom,$64.95 ,orange,Roadster,1
Veronica Boone,(481) 793-0181,4420 Dolor Street,1315,Netherlands,$235.34 ,violet,Trickster,1
Adrienne Hull,1-874-553-2371,359-9099 Eget Av.,464528,Poland,$203.58 ,red,Hero,9
Amy Cantrell,(262) 352-1324,"1411 Egestas, Avenue",779713,United Kingdom,$129.03 ,green,Ninja,5
Charles Norton,1-757-882-2646,Ap #608-5159 Faucibus Av.,38757,Germany,$254.91 ,violet,Ninja,5
Honorato Conway,(874) 720-9564,"P.O. Box 585, 9727 Parturient Av.",464960,Costa Rica,$115.81 ,blue,Racer,6
Graiden Summers,1-619-188-4476,"P.O. Box 345, 924 Sit Rd.",27808,New Zealand,$271.29 ,green,Ninja,4
Stewart Avila,(321) 241-3732,Ap #953-2264 Elit Av.,281923,Italy,$262.47 ,violet,Ninja,9
Vernon Bishop,1-543-723-3093,"6815 Ornare, Ave",30664,Peru,$173.33 ,red,Cruiser,8
Ebony Boyle,(612) 304-9327,Ap #316-1495 Fermentum Ave,56394,Pakistan,$249.07 ,blue,Ninja,6
Melvin Taylor,(331) 551-6770,"P.O. Box 609, 2272 Facilisi. Road",JH3 6LE,Turkey,$279.63 ,orange,Trickster,6
Phyllis Guerrero,1-371-226-6735,350-5260 Diam Ave,17111,Nigeria,$229.21 ,blue,Trickster,7
Iris English,(389) 642-2049,Ap #786-2808 Nullam Road,238454,Belgium,$214.03 ,green,Roadster,3
Ashely Santiago,(327) 358-4218,"Ap #872-8614 Vel, Street",76633,Indonesia,$125.31 ,indigo,Cruiser,2
Ann Mcfarland,1-426-281-4347,"P.O. Box 735, 9607 In, Avenue",8578,Singapore,$111.46 ,blue,Hero,1
Grady Rivers,(643) 225-5305,Ap #529-6359 Velit Rd.,333124,Costa Rica,$235.66 ,red,Cruiser,7
Scarlet Blankenship,(988) 556-2785,234-3384 Tincidunt Av.,86841,Singapore,$244.48 ,yellow,Hero,3
Jorden Carrillo,1-253-566-6931,8721 Tincidunt St.,1181,Philippines,$219.28 ,red,Cruiser,4
Quinn Atkinson,1-656-466-3286,132-2995 Euismod Ave,29250,South Korea,$265.89 ,yellow,Ninja,5
Kennedy Peterson,1-484-187-8144,5810 Donec Road,11142,South Africa,$250.79 ,yellow,Racer,5
Chastity Riley,(144) 388-5031,7605 Lobortis Av.,7882,Philippines,$88.37 ,green,Racer,8
Barclay Dennis,(366) 333-0711,Ap #696-5665 Ultrices Rd.,55472,Belgium,$41.78 ,red,Hero,5
Maia Roberson,1-242-883-7032,Ap #866-6454 Tortor. Rd.,82369,Austria,$200.62 ,violet,Roadster,10
Oscar Bass,(951) 655-9916,"P.O. Box 249, 6914 A St.",67738,Ireland,$84.96 ,red,Hero,6
Quinn Burnett,1-286-438-1285,Ap #873-175 Lectus St.,32238-40805,Brazil,$110.55 ,blue,Cruiser,0
Davis Dale,(502) 648-5876,"Ap #884-7851 Sapien, Road",51108,France,$185.38 ,indigo,Cruiser,7
Zeph Kane,(176) 328-7476,"P.O. Box 804, 7626 Luctus Rd.",553288,Norway,$137.02 ,yellow,Racer,5
Macy Wise,1-276-870-8979,Ap #620-1787 Odio. Rd.,08662,United Kingdom,$254.79 ,orange,Ninja,7
Colorado Pickett,(215) 257-7444,103-3382 Praesent St.,4155-4797,Spain,$214.95 ,indigo,Ninja,8
Kay Ashley,(836) 578-4072,Ap #450-1323 Quam Avenue,529523,Costa Rica,$115.59 ,green,Roadster,3
Jennifer Jenkins,1-622-139-3774,795 Ipsum St.,86660,Belgium,$165.40 ,green,Roadster,1
Simone Mills,1-136-987-2320,3196 Ornare St.,6699,Belgium,$213.37 ,indigo,Hero,2
Jaden Day,(271) 466-8671,6550 Faucibus Street,16705,United States,$253.04 ,red,Roadster,8
Keith Guerrero,(242) 425-2504,"Ap #620-1142 Orci, Rd.",799388,Costa Rica,$82.17 ,indigo,Trickster,8
Steven Berg,(749) 713-5382,Ap #153-6550 Luctus Avenue,57-76,Sweden,$277.36 ,blue,Hero,2
Chantale Albert,(755) 812-7652,6102 Arcu. Ave,2453,Costa Rica,$116.30 ,red,Roadster,3
Alyssa Garrett,(217) 755-7196,2602 Vitae St.,3941,South Africa,$194.17 ,yellow,Hero,7
Riley Bender,1-330-472-5584,2283 Pede Rd.,76781-582,Philippines,$266.92 ,orange,Roadster,4
Jaime Leblanc,(984) 682-0179,203-2409 Sed Avenue,09037-68580,Brazil,$204.05 ,orange,Racer,10
Xena Jennings,(996) 429-8567,"P.O. Box 407, 4646 Integer St.",33-84,India,$177.65 ,violet,Roadster,9
Aidan Floyd,(166) 184-5838,"P.O. Box 337, 3929 Ut Ave",5893,South Korea,$158.96 ,violet,Ninja,6
Joelle Rosales,(417) 465-3882,"P.O. Box 543, 3777 Mus. Rd.",51572,Turkey,$172.13 ,yellow,Hero,6
Bernard Russo,1-743-225-2061,Ap #114-5552 Euismod St.,771268,South Africa,$106.10 ,green,Ninja,10
Wanda Rodriguez,(446) 187-7042,Ap #940-1577 Arcu. St.,7132-7326,China,$189.17 ,green,Roadster,4
Kirk Mcdaniel,(453) 878-2783,Ap #111-9855 Metus Ave,56217,Turkey,$148.78 ,red,Hero,6
Alexis Tran,(746) 501-1163,"P.O. Box 277, 4323 Nulla Rd.",8873,United States,$170.66 ,violet,Ninja,6
Aimee Ferrell,1-856-742-7670,535 Morbi Avenue,48271,United States,$273.00 ,blue,Racer,10
Keaton Burns,(143) 254-8545,Ap #694-2956 Semper Rd.,28215-32441,Philippines,$252.38 ,blue,Hero,0
India Irwin,(242) 868-2466,Ap #892-4888 Sem Rd.,15-24,Netherlands,$88.47 ,orange,Roadster,4
Raymond Wilkerson,1-334-867-9391,"844-9677 Vulputate, Av.",24084,Italy,$213.66 ,orange,Ninja,7
Arthur Carter,(286) 477-8980,747-7567 Est Avenue,757326,Spain,$148.76 ,yellow,Cruiser,1
Tanek James,1-433-444-0734,8077 Curabitur Street,301213,Sweden,$135.31 ,yellow,Cruiser,7
Ahmed Welch,1-265-437-1995,404-7731 Sociis St.,7277,Singapore,$101.70 ,red,Hero,8
Stewart Reid,(295) 389-3122,Ap #773-1484 Varius Rd.,8174,Italy,$41.01 ,red,Trickster,3
Christine Gay,(718) 215-3945,348-7773 Conubia St.,17505,India,$281.06 ,orange,Trickster,1
Lawrence Merritt,1-244-941-3907,"821-1490 Non, St.",87888-20737,Vietnam,$191.94 ,red,Roadster,1
Cheyenne Petersen,1-666-776-0910,"P.O. Box 240, 9180 Nec Rd.",57K 7Y7,Belgium,$199.85 ,yellow,Cruiser,8
Keaton Hanson,1-686-813-5135,Ap #734-6042 Curabitur Street,752946,Mexico,$121.30 ,violet,Racer,2
Geoffrey Diaz,1-603-721-5334,Ap #108-1251 Placerat Av.,86144,Italy,$49.95 ,indigo,Trickster,2
Shaine Gordon,(550) 504-2782,Ap #440-1982 Nec Avenue,48269,Ireland,$42.30 ,violet,Hero,1
Athena Black,1-547-744-7577,727-8475 Erat St.,871399,Costa Rica,$93.93 ,blue,Hero,2
Liberty Wade,(531) 584-4807,237-3086 Phasellus Avenue,70710,Pakistan,$227.52 ,violet,Racer,6
Xander Contreras,1-129-202-6870,2585 Mauris Ave,345362,Turkey,$122.30 ,orange,Hero,3
Lewis Macias,(423) 347-8968,Ap #438-4922 Sapien. Road,1309-5043,New Zealand,$216.21 ,violet,Roadster,0
Naida Leblanc,(463) 561-5449,836-1856 Ipsum. Rd.,2944,Poland,$81.38 ,red,Racer,5
Lewis O'connor,(729) 411-5660,923-926 Nec Rd.,S3H 4G9,France,$115.96 ,violet,Hero,8
Charlotte Brooks,1-484-454-9657,979-2602 In St.,81420,United Kingdom,$42.97 ,yellow,Cruiser,4
Curran Franco,1-456-827-4176,Ap #360-9624 Sem Rd.,21617,Ukraine,$83.11 ,violet,Trickster,4
Kane Rivers,(592) 414-3138,540-1375 Convallis St.,53921-57598,Mexico,$113.85 ,yellow,Ninja,4
Jade Hull,1-245-774-8581,"312-8119 Non, St.",25841,Russian Federation,$97.96 ,violet,Hero,1
Riley Blevins,(228) 885-6668,"Ap #257-1989 Quis, St.",5716 RM,Brazil,$208.47 ,red,Cruiser,2
Shelly Moses,(309) 368-3366,"P.O. Box 261, 5528 Lorem Road",30724,Pakistan,$102.80 ,green,Roadster,4
Elijah Scott,(570) 611-1353,182-9174 Ut Avenue,5135,South Africa,$282.10 ,orange,Roadster,2
Colorado Finley,1-849-665-5242,9810 Fringilla St.,38-038,India,$52.22 ,violet,Hero,10
Cody Prince,1-341-515-2013,"6283 Dui, Av.",188968,Brazil,$248.05 ,indigo,Racer,2
Avye Carter,1-212-938-0613,102-8722 Egestas. Ave,724204,Netherlands,$215.16 ,orange,Roadster,6
Logan Sims,(890) 568-1255,"874-2129 Felis, St.",8791,Chile,$195.77 ,red,Hero,5
Leslie Blackburn,1-933-238-2920,Ap #428-8891 Purus Avenue,525314,Mexico,$95.81 ,yellow,Hero,2
Declan Frazier,1-237-257-6149,Ap #426-8285 Vivamus St.,50514,South Africa,$286.38 ,violet,Hero,4
Neil Mann,(705) 265-3826,"P.O. Box 999, 1336 Eget St.",52844,Costa Rica,$127.97 ,violet,Ninja,3
Piper Ware,1-271-716-8121,Ap #508-1951 Morbi Rd.,63-821,Chile,$272.64 ,violet,Roadster,1
Maya Anderson,(753) 727-5641,Ap #435-6606 Consectetuer Avenue,0315 JO,Ireland,$54.41 ,indigo,Racer,4
Erin Ingram,(295) 271-8675,4589 Pede. Street,77807,Nigeria,$79.07 ,violet,Trickster,10
Fritz Parker,(687) 388-0129,Ap #292-9232 Nonummy St.,312275,Indonesia,$180.63 ,orange,Trickster,9
Kirestin Mccarthy,1-650-771-4261,"147-5124 Consequat, St.",17340,Sweden,$62.15 ,blue,Roadster,8
Meghan Chan,1-287-470-1641,811-8534 Nulla St.,0313 TV,France,$128.98 ,green,Ninja,2
Justin Lawson,1-362-178-2458,417-3104 Ut Ave,9001-9245,Indonesia,$137.52 ,indigo,Ninja,9
Chastity O'connor,(182) 537-2525,8183 Ipsum Rd.,524918,United States,$195.36 ,yellow,Roadster,4
Karyn Fitzpatrick,(606) 441-4585,"P.O. Box 961, 5790 Ornare. Rd.",372351,Poland,$189.44 ,yellow,Roadster,9
Colby Neal,(431) 585-6158,"P.O. Box 847, 7507 Purus Street",73547,South Africa,$65.28 ,yellow,Ninja,1
Piper Glover,(893) 244-3215,"Ap #388-6292 Id, Ave",7746,Austria,$100.08 ,violet,Hero,9
Wynne Sosa,(781) 364-6185,"Ap #988-2100 Tincidunt, St.",26683,Belgium,$151.36 ,green,Ninja,3
Sonya Lewis,(214) 754-4591,"P.O. Box 211, 6662 Leo St.",68426,Nigeria,$159.18 ,indigo,Hero,8
Cherokee Dyer,(111) 170-7768,Ap #823-8877 Dolor Av.,398676,New Zealand,$66.34 ,indigo,Cruiser,5
Hayden Mcguire,(476) 590-2141,8490 Dui. Street,20317,Austria,$108.60 ,blue,Ninja,7
Dillon Webb,1-338-374-1733,"P.O. Box 394, 3151 Dolor, St.",61895,South Africa,$213.92 ,orange,Hero,2
Madonna Shepherd,(588) 572-6954,963-9680 Ullamcorper Road,6309,Brazil,$155.90 ,indigo,Hero,0
Audra Porter,(112) 222-4450,286-1949 Ornare St.,64-22,China,$64.80 ,violet,Roadster,5
Raymond Norton,1-365-208-3307,Ap #947-2462 Donec Avenue,69728,Canada,$144.75 ,indigo,Ninja,5
Serena Beach,1-733-306-0813,156-9264 Pellentesque Ave,408314,Germany,$226.10 ,orange,Ninja,10
Carla Clements,1-592-255-5226,Ap #757-6260 Tincidunt St.,68157-484,Peru,$213.36 ,red,Roadster,4
Hilary Calderon,(872) 731-4319,Ap #392-7706 Nibh Av.,531631,Australia,$141.38 ,red,Trickster,1
Malik Day,1-447-132-7514,Ap #458-5602 Nulla Ave,22657,Pakistan,$121.96 ,yellow,Hero,5
Aaron Castillo,(343) 124-2779,Ap #228-6591 Justo Road,83022,Sweden,$213.69 ,indigo,Roadster,8
Andrew Benton,(105) 539-1656,"530 Risus, Avenue",13758,Norway,$277.78 ,green,Roadster,4
Berk Moses,(458) 453-2274,4481 Neque St.,6757,Belgium,$278.20 ,indigo,Cruiser,0
Christen Padilla,(808) 367-1766,592-3092 Tincidunt Av.,7986,New Zealand,$233.95 ,red,Roadster,7
Maite Chambers,1-442-377-2533,884-6352 Gravida. Ave,41118,Poland,$222.26 ,violet,Ninja,6
Jaquelyn George,1-274-474-2221,Ap #848-339 Pellentesque Rd.,67813,Chile,$66.07 ,orange,Cruiser,3
Thane Decker,(663) 239-0302,845-5451 Turpis. St.,198621,Pakistan,$241.37 ,red,Hero,9
Kasper Watson,1-546-507-8945,6238 Malesuada St.,14893,United Kingdom,$60.12 ,blue,Trickster,6
Bryar Barry,(497) 221-4800,Ap #476-5577 Molestie Ave,6411,Norway,$79.33 ,yellow,Ninja,5
Tyrone Fuentes,(731) 262-3245,Ap #456-2426 Suspendisse Road,73182,Ukraine,$40.40 ,violet,Roadster,2
Miriam Mooney,1-760-646-8348,6421 Nam Street,S7L 8T3,Ireland,$127.26 ,orange,Ninja,3
Ethan Hooper,1-796-465-2739,"7600 A, Street",0360,Ireland,$248.71 ,red,Trickster,4
Ria Stephens,(418) 503-0177,3228 Libero Av.,557778,Austria,$222.21 ,blue,Cruiser,5
Dora Mercer,(726) 845-6242,8702 Convallis St.,644162,Netherlands,$51.95 ,indigo,Hero,5
Naomi Hogan,(925) 451-6562,Ap #433-7267 Fringilla St.,814274,Philippines,$59.60 ,indigo,Roadster,3
Davis Black,1-325-140-7867,362-7191 Cras Av.,73734-510,New Zealand,$278.44 ,yellow,Cruiser,0
Yardley Jacobson,1-211-791-1833,Ap #303-8222 Eros Rd.,2689,Philippines,$153.80 ,blue,Roadster,2
Gemma Ruiz,1-914-693-4161,102-7643 Eget St.,7913,Peru,$125.52 ,blue,Racer,5
Salvador Flores,1-726-434-9725,"P.O. Box 521, 9366 Nulla Rd.",784466,South Korea,$260.95 ,red,Roadster,1
Amos Robinson,1-282-181-5245,770-8465 Urna Avenue,6659,Pakistan,$43.03 ,green,Racer,6
Ezra Kemp,(476) 453-5121,127-9784 At St.,951368,South Korea,$55.26 ,indigo,Cruiser,2
Aline Meyers,(986) 757-1789,Ap #205-180 Sodales Av.,217358,Spain,$200.68 ,violet,Ninja,10
Louis Ferrell,(828) 269-4308,5224 Aliquam Street,60668,Ireland,$226.58 ,orange,Roadster,7
Addison Chambers,(793) 325-1037,1808 Sit St.,639462,Netherlands,$128.79 ,red,Ninja,6
Hollee Barry,1-476-348-4667,Ap #556-8895 Risus. Street,667274,Turkey,$248.44 ,blue,Ninja,7
Raphael Schroeder,1-424-638-2638,830-765 Aliquam Av.,789499,Mexico,$226.09 ,yellow,Roadster,0
Holmes Walter,(353) 203-2138,Ap #853-2354 Lorem Av.,17937,Brazil,$278.16 ,green,Ninja,3
Ivan Webb,1-447-623-4212,617-3149 Dapibus Ave,64-27,Russian Federation,$133.49 ,green,Roadster,7
Renee Berg,1-711-610-5651,Ap #228-4237 Sit Rd.,18297,Costa Rica,$73.46 ,red,Cruiser,10
Adele Mayo,1-923-343-1629,Ap #766-9877 Malesuada Rd.,R2Y 1A4,Philippines,$82.15 ,yellow,Trickster,6
Leroy Morrison,1-698-513-7766,"P.O. Box 832, 3267 A Avenue",T1M 8Y2,Germany,$274.14 ,red,Ninja,4
Maisie Miles,1-276-891-4789,"P.O. Box 344, 6705 Facilisis, Avenue",38-348,Sweden,$241.50 ,indigo,Ninja,7
Geoffrey Hodge,1-624-287-8621,Ap #316-1908 Tincidunt Road,217686,South Africa,$226.40 ,blue,Hero,0
Thor Lamb,1-344-853-0543,603-2539 Phasellus Road,46995-35761,Norway,$253.30 ,violet,Cruiser,8
Echo Valdez,(564) 484-2026,Ap #154-4700 Aenean Av.,83453,Germany,$164.99 ,violet,Ninja,10
Joan Flores,(825) 552-6162,"Ap #259-7892 Eu, Av.",1207 HK,Belgium,$247.78 ,indigo,Trickster,8
Colorado Fuller,1-775-972-5648,261-8135 Tortor. Road,164522,Vietnam,$160.60 ,red,Cruiser,7
Amal Galloway,(965) 408-5349,Ap #140-3937 Tellus Rd.,47722,Spain,$200.45 ,red,Ninja,7
Scott Fletcher,(956) 670-0935,"965-3758 Vitae, Av.",665465,Italy,$51.90 ,red,Ninja,8
Harding Grimes,1-145-443-1911,8683 Fermentum Av.,5952,India,$54.58 ,orange,Racer,0
Paki Cooper,1-636-905-4785,684-2019 Nulla St.,61434,Norway,$77.70 ,violet,Cruiser,6
Donovan Mullins,1-795-869-6484,433-7492 Consequat Rd.,499347,Belgium,$148.35 ,violet,Cruiser,6
Whilemina Stevenson,1-721-367-5932,Ap #260-9370 Euismod Road,254135,New Zealand,$182.40 ,red,Hero,7
James Soto,1-643-488-8445,322-8092 Tristique St.,77-53,United Kingdom,$254.37 ,violet,Cruiser,8
Minerva Hunter,(157) 334-5464,Ap #748-4664 Sed St.,61210,Australia,$259.87 ,green,Roadster,7
Lana Gay,1-321-717-3544,"P.O. Box 826, 5086 Tellus Av.",41604,Turkey,$210.80 ,green,Roadster,1
Evelyn Cherry,(731) 838-1682,"P.O. Box 984, 4915 Aliquam St.",38971,Germany,$73.60 ,yellow,Cruiser,6
Geraldine Dudley,(378) 927-0470,Ap #886-6447 Suspendisse St.,623663,Pakistan,$205.26 ,indigo,Racer,9
Mira Rogers,(729) 711-5432,392-7578 Amet Ave,5812-8354,Belgium,$220.75 ,orange,Roadster,5
Honorato Simmons,(534) 806-7499,"P.O. Box 205, 2803 Sed Avenue",12467,Vietnam,$213.01 ,blue,Ninja,5
Jerry Conley,(362) 762-5399,Ap #115-3120 Cursus. Ave,549271,Ireland,$232.14 ,violet,Ninja,3
Odysseus Tyson,1-365-422-3548,"Ap #182-5445 At, Avenue",2277,Canada,$197.18 ,green,Cruiser,6
Frances Snider,(522) 818-9225,"682-6831 Orci, Av.",7914,Philippines,$132.27 ,green,Hero,7
Melyssa Delaney,(461) 514-7455,Ap #808-7673 Nisi Av.,05842-59557,Nigeria,$100.71 ,green,Cruiser,5
Clark Morton,1-543-726-6674,"P.O. Box 898, 3151 Ipsum Ave",2607,Italy,$215.08 ,yellow,Racer,8
Ross Howard,1-466-951-6836,"672 Magna, Rd.",968436,India,$114.55 ,green,Roadster,8
Noelani Hayden,1-785-220-3487,Ap #968-8777 Nisl Avenue,366526,Spain,$51.48 ,violet,Racer,6
Portia Walters,(433) 851-8465,Ap #705-5072 In Road,507509,Indonesia,$217.63 ,yellow,Cruiser,6
Dawn Ashley,1-685-437-4634,Ap #237-941 Non Avenue,41663,Norway,$160.55 ,yellow,Ninja,8
Cassady Hammond,(553) 504-2946,243-4807 Felis Street,3618,Vietnam,$62.31 ,yellow,Trickster,8
Amaya Norris,(329) 617-5701,"947-9041 Ornare, Av.",57-641,Singapore,$280.25 ,violet,Racer,2
Kaye Harrell,1-506-253-2975,"114-9555 Vulputate, Road",0834,Italy,$196.75 ,red,Trickster,4
Remedios Jordan,(690) 873-3856,"9232 Luctus, St.",2370,Australia,$127.12 ,blue,Roadster,3
Ivor Knapp,(381) 661-4747,833-735 Sodales Ave,246694,China,$279.10 ,yellow,Cruiser,2
Cheyenne Castro,(527) 575-2393,2513 Velit. Avenue,3647,Australia,$135.39 ,orange,Ninja,1
Megan Sellers,1-216-911-1437,"P.O. Box 421, 4643 Mauris. St.",435891,Australia,$92.80 ,green,Cruiser,7
